estacao,ano,precip_total,rx1day,dias_chuva_forte,cdd,tmax_media
A401,2000,172.2,57.2,1,168,29.15454545454546
A401,2001,1856.0,80.4,4,30,28.249860724233987
A401,2002,1799.8,107.8,8,30,28.31142857142857
A401,2003,2022.2,194.0,6,42,28.578654970760233
A401,2004,2043.0,101.2,8,16,30.344808743169402
A401,2005,1869.0,152.0,9,53,30.58706896551724
A401,2006,124.00000000000001,41.400000000000006,0,299,29.851322751322748
A401,2007,999.2,65.8,1,29,30.60090634441088
A401,2008,634.6000000000001,49.4,0,118,27.8616
A401,2009,936.4,65.2,2,53,29.103287671232874
A401,2010,1477.7999999999997,115.2,5,19,28.703561643835613
A401,2011,1761.6000000000001,114.4,5,35,28.102191780821915
A401,2012,1058.2,112.2,2,78,28.98415300546448
A401,2013,1759.7999999999997,116.4,6,42,29.28333333333333
A401,2014,1440.4,111.8,3,45,28.903013698630136
A401,2015,1441.8000000000002,87.6,5,28,29.501643835616438
A401,2016,1110.0,61.0,1,27,29.71011560693642
A401,2017,1597.2,66.6,5,13,29.224109589041095
A401,2018,1289.8,84.19999999999999,4,14,29.538904109589044
A401,2019,1855.4,161.8,6,32,29.58109589041096
A401,2020,2265.0,104.0,8,16,28.88633879781421
A402,2002,156.6,41.0,0,181,32.24826086956522
A402,2003,367.4,53.199999999999996,1,84,31.76991150442478
A402,2004,0.0,0.0,0,366,
A402,2005,190.8,49.4,0,267,8.239285714285714
A402,2006,488.80000000000007,93.6,1,98,28.41938775510204
A402,2007,21.2,10.6,0,263,32.89808219178082
A402,2008,882.1999999999999,54.4,2,135,31.766184971098262
A402,2009,1395.8,121.39999999999999,5,127,31.430958904109588
A402,2010,967.8000000000001,55.2,3,141,32.37150837988827
A402,2011,1248.2000000000003,72.6,3,161,31.276438356164377
A402,2012,480.20000000000005,59.0,2,125,32.9811320754717
A402,2013,1017.2,63.8,2,104,32.5117808219178
A402,2014,789.8,72.8,3,95,32.41178082191781
A402,2015,696.0,69.2,2,160,33.25945205479452
A402,2016,996.1999999999999,78.6,4,167,32.75491803278689
A402,2017,635.2,88.4,3,137,32.469760479041916
A402,2018,702.1999999999998,60.599999999999994,3,145,32.06493150684932
A402,2019,867.0,62.0,2,134,33.208383233532935
A402,2020,256.20000000000005,55.0,2,332,31.682240437158473
A404,2002,583.4000000000001,106.8,2,51,30.637944664031618
A404,2003,729.2,72.60000000000001,1,45,29.973925501432667
A404,2004,1281.6000000000001,103.6,4,126,29.825207756232686
A404,2005,80.20000000000002,34.6,0,249,29.405780346820812
A404,2006,1.6,0.4,0,365,29.681506849315067
A404,2007,3.4000000000000004,2.2,0,307,31.05780821917808
A404,2008,1.4,0.6,0,366,30.15274390243902
A404,2009,1040.0,98.0,3,68,29.772093023255813
A404,2010,872.0,57.0,1,73,30.06657534246575
A404,2011,813.2,49.6,0,177,29.438082191780822
A404,2012,934.4000000000001,66.8,3,145,30.651373626373626
A404,2013,1024.8,80.2,2,104,30.210393258426965
A404,2014,775.2,61.0,2,156,30.16082191780822
A404,2015,793.8,89.0,2,155,30.949315068493153
A404,2016,346.2,43.0,0,321,31.093715846994535
A404,2017,918.4000000000001,86.8,4,165,30.363561643835613
A404,2018,739.5999999999999,64.6,2,121,29.826575342465755
A404,2019,713.4,77.39999999999999,1,135,30.918082191780822
A404,2020,1191.0,78.8,6,209,29.53963636363636
A405,2003,355.20000000000005,108.2,1,220,29.091216216216218
A405,2004,0.0,0.0,0,366,28.192622950819672
A405,2005,0.0,0.0,0,365,29.544871794871796
A405,2006,720.4000000000001,125.2,1,97,27.443893129770995
A405,2007,1081.4,109.0,6,56,28.252743902439022
A405,2008,808.2,41.0,0,63,28.304383561643842
A405,2009,1088.4,66.0,4,32,28.513972602739727
A405,2010,1065.4,98.4,5,128,28.546428571428574
A405,2011,415.2,41.4,0,265,27.696438356164382
A405,2012,1839.6,152.60000000000002,7,17,28.037158469945357
A405,2013,1456.0,101.4,7,74,28.30980392156863
A405,2014,1021.4000000000001,99.4,2,50,27.986686390532544
A405,2015,826.8,63.2,3,72,28.995616438356162
A405,2016,743.0,61.6,1,61,28.790163934426232
A405,2017,1534.8,124.19999999999999,7,80,27.247651006711408
A405,2018,1712.3999999999999,126.60000000000001,5,19,28.64986301369863
A405,2019,1231.6,118.0,4,17,29.35314285714286
A405,2020,1130.2,100.8,6,99,28.901606425702813
A406,2003,440.4,30.200000000000003,0,90,28.379901960784313
A406,2004,826.6,66.0,1,58,28.146105919003116
A406,2005,1008.4,75.39999999999999,2,79,28.90383275261324
A406,2006,1060.0,98.0,1,38,28.066573816155994
A406,2007,988.0,35.599999999999994,0,20,27.78798882681564
A406,2008,826.0,42.400000000000006,0,28,28.08154269972452
A406,2009,883.4,110.60000000000001,1,25,29.356712328767124
A406,2010,1208.2,76.8,2,19,28.899449035812673
A406,2011,1078.2,54.4,1,21,28.193150684931506
A406,2012,706.0,40.6,0,23,28.739344262295084
A406,2013,883.2,68.60000000000001,1,50,28.59315068493151
A406,2014,1031.6000000000001,45.2,0,20,28.066301369863016
A406,2015,650.0,35.199999999999996,0,55,29.680128205128206
A406,2016,981.0,42.4,0,15,29.11530054644809
A406,2017,1118.8,51.6,1,19,28.286027397260277
A406,2018,1016.8,47.0,0,19,28.9345205479452
A406,2019,616.0,65.6,1,75,30.18047138047138
A406,2020,962.0,47.0,0,143,28.79671232876712
A407,2003,521.1999999999999,16.4,0,36,26.030368098159514
A407,2004,955.4000000000001,63.0,3,33,25.716120218579235
A407,2005,812.0,49.6,0,27,25.807374631268434
A407,2006,663.4,50.0,1,39,25.559327217125382
A407,2007,567.5999999999999,62.0,1,97,24.969927536231882
A407,2008,870.2,74.19999999999999,3,38,26.511538461538464
A407,2009,561.4,28.2,0,84,27.094042553191493
A407,2010,926.8,55.800000000000004,1,16,26.43013698630137
A407,2011,868.0,43.199999999999996,0,18,25.851780821917814
A407,2012,342.4,18.599999999999998,0,57,26.582369146005508
A407,2013,776.2,56.199999999999996,1,18,26.255616438356164
A407,2014,980.0,81.0,2,18,25.72958904109589
A407,2015,683.6000000000001,40.800000000000004,0,27,26.903055555555557
A407,2016,708.8,73.60000000000001,1,17,27.02431693989071
A407,2017,629.8,55.4,1,37,26.255425219941344
A407,2018,792.0,62.4,1,27,26.344383561643834
A407,2019,695.0,94.8,1,28,27.241547277936967
A407,2020,1007.6000000000001,53.199999999999996,1,20,26.55819672131148
A408,2003,340.8,43.2,0,37,30.949258160237388
A408,2004,775.8000000000001,49.2,0,54,30.400546448087432
A408,2005,772.0,82.8,3,28,30.31220930232558
A408,2006,643.1999999999999,64.0,2,26,30.403601108033243
A408,2007,703.8000000000001,54.400000000000006,2,41,30.359452054794524
A408,2008,587.1999999999999,75.4,1,40,30.48779761904762
A408,2009,415.20000000000005,46.199999999999996,0,65,31.146735395189
A408,2010,741.0,69.0,3,31,31.033150684931506
A408,2011,452.8,51.0,1,28,30.78684931506849
A408,2012,188.8,11.6,0,50,31.407103825136613
A408,2013,428.0,62.4,2,32,31.23397260273973
A408,2014,504.40000000000003,77.60000000000001,1,35,30.80520547945205
A408,2015,356.2,52.0,1,59,31.69342465753425
A408,2016,539.4,73.0,2,102,31.25655737704918
A408,2017,433.79999999999995,59.4,1,20,31.15232876712329
A408,2018,474.80000000000007,44.2,0,26,31.124657534246577
A408,2019,279.20000000000005,17.4,0,41,31.974794520547942
A408,2020,74.8,10.8,0,299,31.131420765027322
A410,2003,1535.0,62.4,3,19,27.592375366568916
A410,2004,2024.8,155.0,3,12,27.433879781420764
A410,2005,1853.0,99.8,4,18,27.30057636887608
A410,2006,1507.0,100.0,4,96,27.221951219512192
A410,2007,0.0,0.0,0,365,26.55833333333333
A410,2008,0.0,0.0,0,366,26.580882352941178
A410,2009,262.40000000000003,94.60000000000001,1,206,27.60212765957447
A410,2010,755.2,60.800000000000004,1,120,26.96178861788618
A410,2011,1624.8000000000002,88.8,3,53,27.12876712328767
A410,2012,1149.2,47.2,0,83,27.45902578796561
A410,2013,1793.2,214.2,2,51,27.17210031347963
A410,2014,1806.4,120.60000000000001,5,24,26.693424657534248
A410,2015,1291.6,142.0,3,16,27.00958904109589
A410,2016,1397.2,46.0,0,13,28.411748633879782
A410,2017,1457.0,95.0,5,26,27.646927374301672
A410,2018,1724.0,84.6,2,13,28.02958904109589
A410,2019,630.8,109.2,1,197,30.050595238095237
A410,2020,532.8000000000001,104.0,2,285,28.71807228915662
A412,2003,434.79999999999995,46.800000000000004,0,37,29.97275541795666
A412,2004,929.0,76.0,4,36,29.525956284153004
A412,2005,962.4,66.60000000000001,4,34,29.272674418604655
A412,2006,394.00000000000006,64.39999999999999,1,88,29.365555555555556
A412,2007,264.2,29.200000000000003,0,207,29.943916913946584
A412,2008,470.20000000000005,56.4,1,83,29.838746438746437
A412,2009,640.0,66.4,2,36,30.47683615819209
A412,2010,544.0,71.8,3,100,30.10766550522648
A412,2011,169.20000000000002,61.4,1,153,30.05403726708075
A412,2012,329.2,26.4,0,27,30.5275956284153
A412,2013,666.6,72.2,2,21,30.26602739726027
A412,2014,703.8000000000001,52.400000000000006,2,19,29.79534246575343
A412,2015,421.0,29.2,0,51,31.126027397260273
A412,2016,907.4,70.8,6,18,30.735519125683062
A412,2017,358.0,77.2,1,36,30.64216867469879
A412,2018,365.8,66.2,1,144,30.582465753424657
A412,2019,556.1999999999999,38.8,0,31,31.14904109589041
A412,2020,37.4,26.2,0,361,30.26530054644809
A413,2007,323.4,38.4,0,19,28.48409090909091
A413,2008,804.2,70.4,1,27,29.54368131868132
A413,2009,652.0,73.0,1,30,30.36
A413,2010,162.8,67.4,1,186,29.77561643835616
A413,2011,752.0,55.0,1,27,29.40246575342466
A413,2012,340.4,52.800000000000004,1,26,30.63911764705882
A413,2013,689.0,65.0,1,31,30.1067055393586
A413,2014,711.2,40.4,0,19,29.586575342465753
A413,2015,469.4,50.6,1,74,30.19486301369863
A413,2016,460.20000000000005,54.0,1,64,31.32739273927393
A413,2017,454.4,25.8,0,50,29.959452054794518
A413,2018,688.1999999999999,45.6,0,34,30.34547945205479
A413,2019,737.4000000000001,40.6,0,45,30.61068493150685
A413,2020,959.6,63.4,2,59,28.971794871794874
A414,2007,0.0,0.0,0,214,24.773831775700938
A414,2008,239.59999999999997,51.2,1,324,25.713698630136992
A414,2009,853.6000000000001,84.80000000000001,3,25,25.851506849315065
A414,2010,792.6,58.2,1,25,25.966849315068494
A414,2011,603.2,45.4,0,25,25.156438356164383
A414,2012,580.6,122.6,3,31,26.11174863387978
A414,2013,632.8,58.400000000000006,1,38,25.947123287671236
A414,2014,504.2,68.0,2,38,25.553982300884954
A414,2015,188.8,53.8,1,197,27.587777777777777
A414,2016,643.2,47.800000000000004,0,36,26.706010928961753
A414,2017,697.6,87.2,1,36,25.32246575342466
A414,2018,703.4000000000001,98.80000000000001,1,41,25.740547945205478
A414,2019,361.40000000000003,31.999999999999996,0,27,26.95098039215686
A414,2020,914.0,56.8,3,30,25.560109289617486
A415,2007,466.8,90.6,3,128,33.76355140186916
A415,2008,1039.4,69.0,2,191,31.92554945054945
A415,2009,907.2,52.4,2,127,31.881369863013695
A415,2010,632.0,46.0,0,192,32.76850828729282
A415,2011,642.8,74.4,3,146,32.044931506849316
A415,2012,496.2,58.800000000000004,2,142,33.69043715846994
A415,2013,803.4,93.6,2,153,33.35890410958904
A415,2014,355.79999999999995,41.4,0,128,32.88323529411765
A415,2015,587.2,48.8,0,131,33.66338983050848
A415,2016,1131.8,148.0,5,196,33.58575342465753
A415,2017,773.8,63.8,2,134,33.08904109589041
A415,2018,786.4,64.19999999999999,2,100,32.789315068493146
A415,2019,379.8,37.0,0,136,33.69913544668587
A415,2020,0.0,0.0,0,366,
A416,2008,893.8000000000001,75.2,2,159,31.11897590361446
A416,2009,926.8000000000001,67.2,2,125,31.098395721925133
A416,2010,971.7999999999997,53.00000000000001,1,138,31.786027397260277
A416,2011,800.6000000000001,102.0,3,174,31.061057692307696
A416,2012,693.4,92.0,4,78,31.976582278481015
A416,2013,1047.2000000000003,79.6,5,151,32.03506849315068
A416,2014,634.3999999999999,66.8,2,164,31.91835616438356
A416,2015,761.8,60.199999999999996,2,173,33.0358904109589
A416,2016,791.8000000000001,108.8,2,96,32.92570422535212
A416,2017,299.0,49.6,0,134,32.046027397260275
A416,2018,547.8000000000001,73.8,3,201,30.985611510791365
A416,2019,678.4000000000001,107.80000000000001,1,134,33.12821917808219
A416,2020,576.8000000000001,60.0,3,138,31.66912568306011
A418,2007,0.0,0.0,0,228,31.886792452830193
A418,2008,619.1999999999999,48.2,0,149,32.172670807453414
A418,2009,899.0,59.800000000000004,2,114,32.31369863013698
A418,2010,465.8,30.8,0,140,32.77726027397261
A418,2011,737.4000000000001,136.20000000000002,2,152,32.03753424657534
A418,2012,425.4,69.0,1,121,33.10825082508251
A418,2013,352.2,78.2,1,100,33.37589041095891
A418,2014,386.2,89.8,1,137,33.3003003003003
A418,2015,102.20000000000002,29.200000000000003,0,302,34.29877675840979
A418,2016,483.80000000000007,94.2,1,119,33.75028735632184
A418,2017,492.6,44.0,0,164,33.5958904109589
A418,2018,543.4,71.8,1,97,33.25479452054795
A418,2019,377.4000000000001,56.6,2,135,34.47967741935484
A418,2020,847.5999999999999,76.8,2,119,32.133620689655174
A422,2009,494.4,73.6,2,82,26.825200000000002
A422,2010,509.59999999999997,80.0,3,231,27.87142857142857
A422,2011,595.1999999999999,51.8,1,32,26.703405572755415
A422,2012,582.8,175.0,2,133,27.25655737704918
A422,2013,762.0,89.0,2,91,27.04057971014493
A422,2014,301.4,30.0,0,91,26.7836820083682
A422,2015,533.8,53.6,1,37,27.274246575342467
A422,2016,245.6,62.2,1,254,27.47411003236246
A422,2017,0.0,0.0,0,365,26.69373040752351
A422,2018,390.4,68.39999999999999,1,198,26.807692307692307
A422,2019,716.6,69.8,3,31,27.576712328767123
A422,2020,586.6,76.4,1,66,27.079401993355482
A423,2008,333.6,65.2,2,193,31.089285714285715
A423,2009,956.4000000000001,93.0,6,115,30.916712328767126
A423,2010,620.0,65.2,4,88,31.543835616438358
A423,2011,524.0,64.8,3,141,30.8717877094972
A423,2012,231.2,49.4,0,227,32.10874316939891
A423,2013,514.4000000000001,46.2,0,97,32.03150684931507
A423,2014,533.8,69.0,3,86,31.260724233983282
A423,2015,167.4,34.4,0,79,33.22164383561643
A423,2016,288.6,63.6,2,123,32.3112676056338
A423,2017,268.2,31.2,0,108,32.6986301369863
A423,2018,708.4,75.2,1,185,31.727945205479454
A423,2019,310.6,53.4,1,221,32.91538461538462
A423,2020,632.4,65.0,3,68,30.508196721311474
A424,2008,322.20000000000005,43.4,0,103,29.217518248175185
A424,2009,649.8,71.60000000000001,3,92,29.904657534246578
A424,2010,738.4,69.4,2,125,29.793698630136983
A424,2011,493.4,83.8,2,162,29.40302197802198
A424,2012,297.2,38.6,0,105,30.3120218579235
A424,2013,541.2,90.0,3,68,30.149315068493152
A424,2014,308.20000000000005,39.2,0,81,29.58957746478873
A424,2015,283.2,54.0,1,132,30.769589041095895
A424,2016,400.6,43.2,0,79,30.34904109589041
A424,2017,299.20000000000005,49.0,0,101,30.127397260273973
A424,2018,368.6,65.0,1,162,29.905205479452057
A424,2019,403.40000000000003,52.0,1,49,30.794520547945204
A424,2020,830.3999999999999,98.0,5,84,29.341803278688527
A425,2008,550.5999999999999,64.4,1,32,29.998518518518516
A425,2009,1263.4,110.2,4,30,31.608767123287667
A425,2010,688.0,57.2,1,91,29.417543859649122
A425,2011,822.2,45.0,0,33,29.532328767123285
A425,2012,549.0,97.4,1,41,30.75218579234973
A425,2013,966.0,126.4,4,56,30.268347338935573
A425,2014,988.6,80.6,3,32,29.47041095890411
A425,2015,748.0000000000001,57.2,1,37,30.710410958904106
A425,2016,1051.0,89.4,5,57,30.545081967213115
A425,2017,653.4000000000001,52.6,1,43,30.33694444444444
A425,2018,1203.2,140.4,4,37,30.279452054794522
A425,2019,1075.0,147.4,7,30,31.204383561643837
A425,2020,1655.8000000000002,67.6,7,24,29.445901639344264
A426,2008,89.2,22.2,0,150,30.46558139534884
A426,2009,823.1999999999999,71.2,5,112,30.910958904109588
A426,2010,617.5999999999999,41.6,0,148,31.17506849315069
A426,2011,629.4,87.39999999999999,4,112,30.07040498442367
A426,2012,523.1999999999999,66.2,2,98,31.45409836065574
A426,2013,659.5999999999999,67.2,2,103,31.340821917808217
A426,2014,564.0,80.19999999999999,2,145,30.845753424657538
A426,2015,488.20000000000005,110.6,1,179,32.05945205479452
A426,2016,766.0,77.80000000000001,4,125,31.523809523809526
